EmployeeID,Age,Gender,Department,JobRole,Education,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,JobSatisfaction,WorkLifeBalance,Overtime,DistanceFromHome,Attrition
233,44,Female,Research & Development,Research Scientist,PhD,2682,20,10,18,1,3,No,11,Yes
234,60,Female,Sales,Sales Executive,Bachelor's,15243,18,7,11,1,1,Yes,29,No
235,28,Female,IT,IT Support,Bachelor's,5552,8,5,6,3,3,Yes,20,No
236,57,Male,Finance,Finance Manager,Master's,15895,18,7,14,1,1,No,19,No
237,22,Male,Research & Development,Laboratory Technician,Bachelor's,16077,2,0,2,2,2,Yes,9,Yes
238,22,Male,Research & Development,Research Scientist,Bachelor's,8939,4,1,2,2,1,No,12,Yes
239,41,Male,Research & Development,Research Scientist,Bachelor's,13016,16,3,5,2,3,No,3,No
240,52,Female,Finance,Finance Manager,Bachelor's,7660,2,2,2,3,3,No,16,No
241,44,Male,Human Resources,HR Executive,Bachelor's,10335,6,1,1,1,3,Yes,24,Yes
242,48,Female,Sales,Sales Representative,Master's,16290,2,2,2,3,2,No,17,No
243,21,Male,Finance,Finance Manager,Bachelor's,4400,2,0,0,2,1,Yes,24,Yes
244,47,Female,Sales,Sales Representative,Master's,4809,9,1,2,3,1,No,30,Yes
245,55,Male,IT,IT Support,PhD,3285,22,3,5,4,1,No,13,No
246,24,Male,Research & Development,Laboratory Technician,Master's,4852,4,0,4,1,2,Yes,21,No
247,41,Female,Finance,Financial Analyst,Bachelor's,10991,13,4,11,3,3,No,1,No
248,31,Male,Sales,Sales Representative,Master's,8916,3,0,2,3,4,No,22,No
249,37,Male,Human Resources,HR Executive,Bachelor's,6230,4,1,3,3,4,No,2,No
250,31,Female,Sales,Sales Representative,PhD,11668,6,0,3,4,4,No,26,No
251,56,Female,Research & Development,Laboratory Technician,Bachelor's,10625,10,0,0,4,3,No,11,No
252,47,Female,IT,Software Engineer,Master's,11594,17,3,14,1,3,Yes,9,No
253,58,Female,Finance,Accountant,Master's,15824,2,0,2,3,2,Yes,23,No
254,30,Male,Sales,Manager,Master's,8837,9,3,4,1,4,No,30,No
255,60,Male,Sales,Sales Representative,High School,3588,6,2,5,4,1,No,15,No
256,21,Female,Finance,Financial Analyst,Bachelor's,17538,3,1,2,4,3,No,14,No
257,28,Male,Sales,Manager,Bachelor's,14736,2,1,1,1,4,Yes,29,Yes
258,54,Male,Sales,Manager,Bachelor's,8965,15,3,5,2,2,No,15,No
259,47,Male,Finance,Finance Manager,Bachelor's,14570,21,4,6,1,1,No,21,No
260,51,Female,Research & Development,Laboratory Technician,Bachelor's,10151,16,9,9,4,2,Yes,18,No
261,42,Male,Research & Development,Research Director,Bachelor's,9726,3,0,0,3,4,Yes,23,Yes
262,32,Female,Research & Development,Research Director,Master's,10258,0,0,0,1,3,Yes,29,No
263,28,Male,IT,Software Engineer,Bachelor's,17775,8,4,5,1,4,No,11,No
264,35,Male,Finance,Finance Manager,Master's,10889,12,0,2,4,4,No,5,No
265,45,Female,Research & Development,Research Director,Master's,6296,23,6,9,1,3,No,1,No
266,29,Female,Human Resources,HR Specialist,PhD,8342,4,2,3,4,1,Yes,5,No
267,38,Male,Research & Development,Research Director,Bachelor's,11583,13,0,2,3,1,Yes,5,No
268,31,Male,Research & Development,Laboratory Technician,Bachelor's,13863,5,0,5,1,3,No,2,No
269,41,Male,Human Resources,HR Specialist,High School,7684,7,5,5,4,1,No,3,No
270,30,Male,Research & Development,Research Director,Master's,12697,12,1,4,1,4,No,3,No
271,45,Female,IT,IT Support,Master's,17693,3,1,1,2,1,No,28,No
272,50,Female,IT,IT Manager,Bachelor's,10724,5,0,4,3,2,Yes,25,No
273,27,Male,Human Resources,HR Executive,Bachelor's,7052,3,2,2,4,3,No,23,No
274,49,Female,Sales,Manager,Bachelor's,17247,8,1,1,1,3,Yes,12,No
275,31,Male,Sales,Sales Representative,Master's,12244,11,0,5,3,2,Yes,10,No
276,33,Male,Research & Development,Research Director,Master's,9506,4,2,3,4,3,Yes,17,No
277,51,Female,Research & Development,Research Director,Bachelor's,12744,25,1,16,4,4,Yes,24,No
278,41,Female,Finance,Financial Analyst,Master's,17549,13,1,4,2,1,No,3,No
279,37,Female,IT,IT Support,Master's,12238,15,1,10,3,4,No,9,No
280,46,Female,Research & Development,Research Director,Master's,11048,24,10,11,1,2,No,23,No
281,49,Male,Sales,Manager,Bachelor's,15406,26,0,1,3,1,No,2,No
282,50,Female,Finance,Accountant,Master's,10094,0,0,0,3,1,Yes,24,No
283,56,Female,Sales,Sales Representative,Master's,16539,27,4,9,2,4,Yes,23,No
284,23,Male,Sales,Sales Executive,Master's,3696,3,0,0,2,4,No,24,No
285,27,Male,Sales,Sales Executive,PhD,14598,0,0,0,4,4,No,3,No
286,49,Female,Research & Development,Laboratory Technician,High School,5508,19,3,17,2,1,Yes,13,No
287,25,Male,Sales,Sales Executive,Bachelor's,8020,1,0,0,2,2,No,9,No
288,55,Male,Research & Development,Research Scientist,Master's,13142,11,2,9,1,4,No,23,No
289,40,Female,Finance,Accountant,Master's,5680,14,1,1,1,4,Yes,19,Yes
290,35,Male,Sales,Sales Representative,Bachelor's,16708,2,0,0,3,3,No,8,No
291,24,Male,Finance,Finance Manager,High School,13172,2,0,1,3,1,No,23,Yes
292,26,Male,Finance,Financial Analyst,Bachelor's,12365,4,0,0,4,3,Yes,21,No
293,56,Male,Sales,Sales Representative,Bachelor's,10997,4,1,4,2,2,No,16,No
294,56,Male,Research & Development,Research Director,Bachelor's,15000,15,5,7,2,1,Yes,16,No
295,29,Female,Sales,Sales Representative,PhD,6222,0,0,0,4,2,No,17,No
296,58,Male,Sales,Sales Executive,Master's,7810,0,0,0,1,3,No,9,No
297,26,Male,Human Resources,Manager,Bachelor's,11698,0,0,0,3,2,No,30,No
298,26,Female,Sales,Sales Executive,Bachelor's,4792,5,3,3,3,1,No,12,No
299,46,Male,Research & Development,Research Director,Master's,17699,14,3,3,4,4,No,19,Yes
300,54,Female,Human Resources,HR Specialist,High School,5472,3,2,3,3,2,No,17,No
301,60,Female,Human Resources,HR Specialist,Master's,5263,12,2,2,4,3,No,25,No
302,57,Male,Research & Development,Laboratory Technician,High School,11066,7,5,6,3,2,No,19,No
303,32,Male,Sales,Sales Executive,Master's,12616,13,2,4,3,4,No,1,No
304,53,Male,Sales,Manager,Master's,12165,18,2,4,2,3,No,1,No
305,39,Female,Sales,Manager,Bachelor's,8981,21,7,19,3,2,No,8,No
306,25,Male,Sales,Sales Representative,Bachelor's,4488,3,0,1,2,2,No,17,Yes
307,45,Male,Research & Development,Laboratory Technician,Bachelor's,13325,2,1,1,2,2,Yes,23,No
308,40,Male,Sales,Sales Executive,Bachelor's,13106,11,2,2,2,2,No,22,No
309,56,Male,Research & Development,Laboratory Technician,PhD,10119,1,0,0,1,3,Yes,10,No
310,42,Female,IT,IT Manager,Master's,6620,3,1,1,1,4,No,13,No
311,56,Male,IT,Software Engineer,Master's,13396,8,5,5,2,2,No,18,No
312,35,Female,Finance,Accountant,Bachelor's,4926,3,0,0,1,3,Yes,24,No
313,60,Male,Sales,Sales Executive,High School,7666,22,3,14,4,3,No,14,No
314,23,Female,Research & Development,Laboratory Technician,Master's,6926,5,0,1,4,2,No,23,No
315,33,Female,Research & Development,Research Director,Bachelor's,4493,7,2,5,2,1,Yes,27,No
